KyfG332ll_2021-09-15 10:13,<html>想不同，也敢于去活出不同，用色彩渲染自我态度，用实力诠释多面焦点，无惧他人目光，勇于突破想象，实力敢于不同！每一个你都是独家限定，9月23日与@colorkey珂拉琪 一起拥抱未知惊喜，发出自己的声浪！ #不是谁都敢不同#colorkey珂拉琪的微博视频 ?
KxX8G6Npu_2021-09-13 11:02,<html>喝下手中这杯“蓝天”??? 绿洲 ?[组图共9张]?原图?
KxJnsekYD_2021-09-12 00:00,<html>又是一年美女生日祝大美女@杨幂 生日快乐啦么么么么啾啾啾啾～ ?[组图共2张]?原图?
KxJnsekYD_2021-09-10 12:07,<html>#路易200#路易·威登先生出生200周年，卓越旅程中的创新从未止步。跟随我一同进入@路易威登 的视觉之旅。 Dear-迪丽热巴的微博视频 ?
KvmIQ9zBN_2021-08-18 12:40,<html>plog说到做到 ?[组图共3张]?原图?
KvmIQ9zBN_2021-08-16 21:13,<html>#电视剧你是我的荣耀# 祝晶晶@乔晶晶 新婚快乐，永远幸福 Dear-迪丽热巴的微博视频 ?
Ktiizmo9C_2021-08-13 19:42,<html>#见面吧星朋友# #心动来电#大美女来啦！！ Dear-迪丽热巴的微博视频 ?
Kt4FutH9B_2021-08-12 
KskFd6lUv_2021-08-02 12:37,<html>听说这样拍照质量很高???? 绿洲 ?[组图共4张]?原图?
为我们组建的酷爽军团，就要这样一起玩转夏日战场！雪碧一开，胜利自来，还不速速加入酷爽军团和我一起#渴不及待，爽个痛快# Dear-迪丽热巴的秒拍视频 ?
Gjk4GlLNP_2018-06-01 10:53,<html>6.1儿童节快乐哈各位小朋友作为大姐姐我就好好去工作啦 ?[组图共2张]?原图?
GfzG6rPTX_2018-05-07 19:16,<html>有西瓜和风扇的夏天来啦? ?原图?
GfzG6rPTX_2018-05-06 10:06,<html>不辜负美食，也不忘保持身体的轻盈！来，接住这瓶雪碧纤维＋，酷爽不变，轻盈有加！我先开动啦～迪丽热巴轻盈小秘密 ?
Gctjo4xPr_2018-04-17 09:32,<html>感谢公司@嘉行传媒 @嘉行迪丽热巴工作室 送我的迪丽冷巴！未来冷巴可以陪我们一起玩耍，我的脑洞漫画《冷巴ACTION》今天开始在腾讯动漫APP独家连载了，一起来@腾讯动漫 遇见不一样的我吧～#冷巴ACTION#http:--t.cn-RmHKgs2 ?原图?
Gctjo4xPr_2018-04-14 09:31,<html>我是迪丽热巴。我就是自己的战士，我值得拥有。@巴黎欧莱雅#欧莱雅我值得拥有# ?原图?
Gctjo4xPr_2018-04-13 18:13,<html>#烈火如歌手游#想要跟歌儿相遇吗？快来预约游戏，歌儿在游戏里等你哦～@微博游戏  http:--t.cn-Rmol4p9烈火如歌手游官方微博的秒拍视频 ?
Gctjo4xPr_2018-04-12 14:16,<html>青春应该是什么样子？这次让全能手机人小紫告诉你！#OPPO热舞吧青春##R15就要这样紫# 热巴热血演绎青春态度 ?
Gaw5ouhFZ_2018-04-04 12:55,<html>#idoltube##电视剧烈火如歌# 以为自己只是个记忆口袋的歌儿，哭惨了，给你抱抱娱乐日爆社的秒拍视频 ?
GalrG9EpR_2018-04-03 09:50,<html>这就是我心心念念的见面礼？我的脑洞“迪丽冷巴”？谢谢公司@嘉行传媒 @嘉行迪丽热巴工作室 为我准备的4000万礼物！我的脑洞就这么出道了你好哇，我的冷巴#冷巴ACTION# Dear-迪丽热巴66tj5的秒拍视频 ?
GalrG9EpR_2018-03-31 19:26,<html>#我在看烈火#开会了开会了 歌儿庄主有话讲 请看大屏幕 ?原图?
GalrG9EpR_2018-03-30 12:23,<html>哇 现在都可以隔空抓娃娃了！我们烈火如歌的周边还不是那么好拿到的，你要先抓得到娃娃才行戳→微博抓娃娃上微博，抓正版娃娃 ?
G3mqCw7Iq_2018-02-14 15:53,<html>马上要过年啦，赶在今天向我们温暖强大的祖国表白，也为辛苦一年的大家加油鼓劲儿，让我们一起点亮#中国赞#！ ?原图?
G3mqCw7Iq_2018-02-13 20:28,<html>我来啦～春节快到了，我不仅发了视频还带了礼物，领取地点就藏在视频里了！记得明晚11点来拿～ Dear-迪丽热巴的秒拍视频 ?
FF6Zfhw6t_2018-01-11 18:33,<html>不复存在的刘海儿 ?原图?
FF6Zfhw6t_2018-01-09 13:49,<html>温暖的祖蓝哥@王祖藍  生日快乐永远开心，像图片里一样，永远有好吃的围绕你。 ?原图?
FDr6gkPfr_2018-01-08 18:48,<html>行，别催了，都看到了，大哥来了 ?[组图共3张]?原图?
FCkPEfDDz_2018-01-01 13:01,<html>2018.1.1 ?[组图共2张]?原图?
FCkPEfDDz_2017-12-29 21:59,<html>谢谢你们的热情，超级开心?今天起，解忧杂货店开店啦。 ?[组图共3张]?原图?
FCkPEfDDz_2017-12-27 20:49,<html>滑雪菜鸟来报道，冰雪炫酷美少女上线！滑要滑出姿态，摔要摔得漂亮！你还等什么？！穿上秋裤，快和我一起菜鸟先飞！快来给我的视频点赞，来#活力冬奥学院#开启冰雪第一次！@伊利活力冬奥学院 Dear-迪丽热巴的秒拍视频 ?
FCkPEfDDz_2017-12-22 18:46,<html>今天也是需要努力工作的一天。 ?[组图共2张]?原图?
FAvM1fL1I_2017-12-20 13:11,<html>#侦探热巴#来啦！在破案现场，抢先一步是制胜法宝！快来腾讯视频APP搜我呀，给大家准备了神秘小礼物～ 我是@腾讯视频VIP 我就要先睹为快！名侦探迪丽热巴秒破珠宝大案，她的秘密武器是啥？ ?
FA32fAECY_2017-12-15 17:03,"<html>久等了，歌来啦！很开心成为山海经神话端游巨制@蛮荒搜神记 的代言人，话说今天开始不限号测试啦，先悄悄放一小段“超燃版”MV 蛮荒搜神记的秒拍视频 在游戏里http:--t.cn-RlNlS7A找到NPC""爱丽丝""就可以观看完整版呦～ ?"
